dom_w,pair,word_1,construal_level_1,image_path,resp_1,word_2,resp_2,construal_level_2,condition,construal_shift
1,1,giving,high,images/1.jpg,yes,prilping,no,na,DC,high na
1,9,giving,high,images/1.jpg,yes,prilping,no,na,DC,high na
2,1,disrobing,low,images/2.jpg,yes,floarting ,no,na,DC,low na
2,9,disrobing,high,images/2.jpg,yes,floarting ,no,na,DC,low na
3,1,dialing,low,images/3.jpg,yes,swarding ,no,na,DC,low na
3,9,dialing,high,images/3.jpg,yes,swarding ,no,na,DC,low na
4,1,entertaining,high,images/4.jpg,yes,bloamsing,no,na,DC,high na
4,9,entertaining,high,images/4.jpg,yes,bloamsing,no,na,DC,high na
5,1,enjoying,high,images/5.jpg,yes,coarping ,no,na,DC,high na
5,9,enjoying,high,images/5.jpg,yes,coarping ,no,na,DC,high na
6,1,learning,high,images/6.jpg,yes,shulphing ,no,na,DC,high na
6,9,learning,low,images/6.jpg,yes,shulphing ,no,na,DC,high na
7,1,evaluating,high,images/7.jpg,yes,thruiching ,no,na,DC,high na
7,9,evaluating,high,images/7.jpg,yes,thruiching ,no,na,DC,high na
8,1,wandering,high,images/8.jpg,yes,thremming ,no,na,DC,high na
8,9,wandering,high,images/8.jpg,yes,thremming ,no,na,DC,high na
9,1,sinking,low,images/9.jpg,yes,blerting ,no,na,DC,low na
9,9,sinking,low,images/9.jpg,yes,blerting ,no,na,DC,low na
10,1,admiring,high,images/10.jpg,yes,proagging ,no,na,DC,high na
10,9,admiring,high,images/10.jpg,yes,proagging ,no,na,DC,high na
11,1,journeying,high,images/11.jpg,yes,slambithing ,no,na,DC,high na
11,9,journeying,high,images/11.jpg,yes,slambithing ,no,na,DC,high na
12,1,declining,high,images/12.jpg,yes,blurging ,no,na,DC,high na
12,9,declining,high,images/12.jpg,yes,blurging ,no,na,DC,high na
13,1,teaching,high,images/13.jpg,yes,gnoocking ,no,na,DC,high na
13,9,teaching,high,images/13.jpg,yes,gnoocking ,no,na,DC,high na
14,1,distracted,high,images/14.jpg,yes,shrumpsical  ,no,na,DC,high na
14,9,distracted,high,images/14.jpg,yes,shrumpsical  ,no,na,DC,high na
15,1,teasing,high,images/15.jpg,yes,triggish,no,na,DC,high na
15,9,teasing,high,images/15.jpg,yes,triggish,no,na,DC,high na
16,1,serene,high,images/16.jpg,yes,dwieved,no,na,DC,high na
16,9,serene,high,images/16.jpg,yes,dwieved,no,na,DC,high na
